,index,name_model,auc_mean,lower_auc_mean,upper_auc_mean,time,recall,f1_score,precision,accuracy,n_splits,n_iter,time,columns,model
0,33,GradientBoostingClassifier,0.8594731937602625,0.7640083267907819,0.9549380607297432,85.45409893989563s,0.6341463414634146,0.7027027027027027,0.7878787878787878,0.75,5,10,85.45409893989563s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=5,
                           max_features='sqrt', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=24, min_samples_split=19,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
1,53,GradientBoostingClassifier,0.8475639162561578,0.7641548266355918,0.9309730058767238,469.7500832080841s,0.6097560975609756,0.684931506849315,0.78125,0.7386363636363636,5,40,469.7500832080841s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=6,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=17, min_samples_split=3,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
2,25,GradientBoostingClassifier,0.8470442908346134,0.7724325242214333,0.9216560574477936,347.1570932865143s,0.6585365853658537,0.7012987012987012,0.75,0.7386363636363636,4,40,347.1570932865143s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=6,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=17, min_samples_split=3,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
3,46,GradientBoostingClassifier,0.8468755336617406,0.7509603743847738,0.9427906929387074,399.918221950531s,0.6829268292682927,0.736842105263158,0.8,0.7727272727272727,5,30,399.918221950531s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=18, min_samples_split=18,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
4,40,GradientBoostingClassifier,0.8439071839080461,0.7476385525464768,0.9401758152696154,130.3335518836975s,0.6341463414634146,0.7123287671232876,0.8125,0.7613636363636364,5,20,130.3335518836975s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=5,
                           max_features='sqrt', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=24, min_samples_split=19,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
5,26,GradientBoostingClassifier,0.8436942097627582,0.764786903778871,0.9226015157466454,209.1794056892395s,0.7073170731707317,0.7532467532467532,0.8055555555555556,0.7840909090909091,4,40,209.1794056892395s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=6,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=23, min_samples_split=19,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
6,18,GradientBoostingClassifier,0.8426752645502645,0.7804762674922069,0.9048742616083222,293.8954248428345s,0.7073170731707317,0.7435897435897435,0.7837837837837838,0.7727272727272727,4,30,293.8954248428345s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=18, min_samples_split=18,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
7,4,GradientBoostingClassifier,0.8421887267451783,0.752311951921828,0.9320655015685286,130.03760600090027s,0.6829268292682927,0.7179487179487181,0.7567567567567568,0.75,4,10,130.03760600090027s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=9,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=6, min_samples_split=40,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
8,32,GradientBoostingClassifier,0.8415795977011493,0.744515451952883,0.9386437434494156,176.8223192691803s,0.6829268292682927,0.7466666666666667,0.8235294117647058,0.7840909090909091,5,10,176.8223192691803s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mse', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=5,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=31, min_samples_split=36,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
9,11,GradientBoostingClassifier,0.8412526668373441,0.7477849890578676,0.9347203446168206,168.1388864517212s,0.6585365853658537,0.72,0.7941176470588235,0.7613636363636364,4,20,168.1388864517212s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=18, min_samples_split=18,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
